,Date,Volume,Open,High,Low,Close,pred
559,2020-11-19,976480000.0,2536.89,2548.95,2529.53,2547.42,2544.3963413954316
571,2020-12-07,1500000000.0,2738.11,2754.01,2711.42,2745.44,2738.7421154946114
573,2020-12-09,1250000000.0,2703.3,2755.47,2703.3,2755.47,2713.4855182768288
576,2020-12-14,1110000000.0,2769.43,2782.79,2755.29,2762.2,2778.2364418358443
577,2020-12-15,1090000000.0,2763.65,2769.37,2735.08,2756.82,2770.6818302445963
579,2020-12-17,1020000000.0,2769.89,2772.71,2742.25,2770.43,2777.738663629343
581,2020-12-21,1140000000.0,2771.98,2780.24,2747.09,2778.65,2774.909737384425
583,2020-12-23,1120000000.0,2737.74,2769.08,2716.28,2759.82,2744.749950813484
586,2020-12-29,1050000000.0,2810.55,2823.44,2792.06,2820.51,2816.860860805938
591,2021-01-07,1520000000.0,2980.75,3055.28,2980.75,3031.68,2998.935094367291
592,2021-01-08,1300000000.0,3040.11,3161.11,3040.11,3152.18,3046.8787817831394
594,2021-01-12,1390000000.0,3145.87,3154.79,3047.56,3125.95,3203.701657007362
598,2021-01-18,1470000000.0,3079.9,3079.9,3003.89,3013.93,3133.6853702262297
599,2021-01-19,1350000000.0,3013.05,3107.0,3011.32,3092.66,3021.720398590087
603,2021-01-25,1090000000.0,3144.01,3212.22,3142.8,3208.99,3165.2096480900796
605,2021-01-27,924580000.0,3143.46,3182.53,3118.89,3122.56,3154.0037716970755
606,2021-01-28,1310000000.0,3114.98,3114.98,3046.64,3069.05,3159.3607414222834
608,2021-02-01,969260000.0,2976.81,3056.87,2947.24,3056.53,3008.655830346074
610,2021-02-03,901790000.0,3108.42,3142.26,3091.85,3129.68,3130.6625378900794
614,2021-02-09,2150000000.0,3102.25,3129.66,3084.67,3084.67,3105.5567715323937
615,2021-02-10,2150000000.0,3088.13,3111.88,3064.25,3100.58,3113.294363216867
618,2021-02-17,1780000000.0,3162.95,3162.95,3115.48,3133.73,3173.2845686544792
620,2021-02-19,3460000000.0,3089.96,3109.67,3040.28,3107.62,3105.04646162027
622,2021-02-23,2360000000.0,3069.26,3094.29,3035.46,3070.09,3112.6589214037485
624,2021-02-25,1280000000.0,3026.47,3099.8,3026.47,3099.69,3030.487797807637
625,2021-02-26,1360000000.0,3089.49,3089.49,2988.28,3012.95,3091.5328257643637
627,2021-03-03,2240000000.0,3041.2,3083.04,3029.37,3082.99,3087.350125951472
631,2021-03-09,1530000000.0,2989.96,3000.49,2929.36,2976.12,3022.9428200748534
633,2021-03-11,1350000000.0,2964.3,3028.37,2964.3,3013.7,2987.8774810634786
